Accession,Length,Host,Protein,Subtype,Country,Region,Month,Day,Year,Virus,Age,BirthYear
ABG26942,757,Human,PB1,H3N2,USA,N,1,6,1994,Influenza A virus (A/New York/732/1994(H3N2))XX,0,1994
ABF47858,566,Human,HA,H3N2,USA,N,2,7,1994,Influenza A virus (A/New York/733/1994(H3N2))XX,1,1993
ABF47862,498,Human,NP,H3N2,USA,N,2,7,1994,Influenza A virus (A/New York/733/1994(H3N2))XX,1,1993
ABF47865,716,Human,PA,H3N2,USA,N,2,7,1994,Influenza A virus (A/New York/733/1994(H3N2))XX,1,1993
ABG88454,566,Human,HA,H3N2,USA,N,1,14,1994,Influenza A virus (A/New York/735/1994(H3N2))XX,80,1914
ABG88457,469,Human,NA,H3N2,USA,N,1,14,1994,Influenza A virus (A/New York/735/1994(H3N2))XX,80,1914
ABG88461,716,Human,PA,H3N2,USA,N,1,14,1994,Influenza A virus (A/New York/735/1994(H3N2))XX,80,1914
ABG88462,757,Human,PB1,H3N2,USA,N,1,14,1994,Influenza A virus (A/New York/735/1994(H3N2))XX,80,1914
ABG88463,87,Human,PB1-F2,H3N2,USA,N,1,14,1994,Influenza A virus (A/New York/735/1994(H3N2))XX,80,1914
ABG88465,566,Human,HA,H3N2,USA,N,1,21,1994,Influenza A virus (A/New York/736/1994(H3N2))XX,81,1913
ABG88470,230,Human,NS1,H3N2,USA,N,1,21,1994,Influenza A virus (A/New York/736/1994(H3N2))XX,81,1913
ABG88473,757,Human,PB1,H3N2,USA,N,1,21,1994,Influenza A virus (A/New York/736/1994(H3N2))XX,81,1913
ABI92324,566,Human,HA,H3N2,USA,N,2,3,1994,Influenza A virus (A/New York/737/1994(H3N2))XX,0,1994
ABG88486,759,Human,PB2,H3N2,USA,N,2,4,1994,Influenza A virus (A/New York/738/1994(H3N2))XX,79,1915
AAY28305,566,Human,HA,H3N2,USA,N,1,19,2002,Influenza A virus (A/New York/74/2002(H3N2))XX,6,1996
AAY28312,716,Human,PA,H3N2,USA,N,1,19,2002,Influenza A virus (A/New York/74/2002(H3N2))XX,6,1996
AAY28314,759,Human,PB2,H3N2,USA,N,1,19,2002,Influenza A virus (A/New York/74/2002(H3N2))XX,6,1996
ABG88504,121,Human,NS2,H3N2,USA,N,1,15,1994,Influenza A virus (A/New York/740/1994(H3N2))XX,45,1949
ABG88506,757,Human,PB1,H3N2,USA,N,1,15,1994,Influenza A virus (A/New York/740/1994(H3N2))XX,45,1949
ABG88507,90,Human,PB1-F2,H3N2,USA,N,1,15,1994,Influenza A virus (A/New York/740/1994(H3N2))XX,45,1949
ABG88516,716,Human,PA,H3N2,USA,N,3,3,1994,Influenza A virus (A/New York/741/1994(H3N2))XX,76,1918
ABI20944,757,Human,PB1,H3N2,USA,N,1,7,1994,Influenza A virus (A/New York/743/1994(H3N2))XX,99,1895
ABI20947,566,Human,HA,H3N2,USA,N,1,18,1994,Influenza A virus (A/New York/744/1994(H3N2))XX,70,1924
ABI20949,96,Human,M2,H3N2,USA,N,1,18,1994,Influenza A virus (A/New York/744/1994(H3N2))XX,70,1924
ABI20952,230,Human,NS1,H3N2,USA,N,1,18,1994,Influenza A virus (A/New York/744/1994(H3N2))XX,70,1924
ABI20955,757,Human,PB1,H3N2,USA,N,1,18,1994,Influenza A virus (A/New York/744/1994(H3N2))XX,70,1924
ABI20956,79,Human,PB1-F2,H3N2,USA,N,1,18,1994,Influenza A virus (A/New York/744/1994(H3N2))XX,70,1924
ABI20958,566,Human,HA,H3N2,USA,N,2,7,1994,Influenza A virus (A/New York/745/1994(H3N2))XX,0,1994
ABI20963,230,Human,NS1,H3N2,USA,N,2,7,1994,Influenza A virus (A/New York/745/1994(H3N2))XX,0,1994
ABG80128,566,Human,HA,H3N2,USA,N,2,21,1994,Influenza A virus (A/New York/746/1994(H3N2))XX,0,1994
ABG80129,252,Human,M1,H3N2,USA,N,2,21,1994,Influenza A virus (A/New York/746/1994(H3N2))XX,0,1994
ABG80131,469,Human,NA,H3N2,USA,N,2,21,1994,Influenza A virus (A/New York/746/1994(H3N2))XX,0,1994
ABG80137,87,Human,PB1-F2,H3N2,USA,N,2,21,1994,Influenza A virus (A/New York/746/1994(H3N2))XX,0,1994
ABG80139,566,Human,HA,H3N2,USA,N,1,12,1994,Influenza A virus (A/New York/747/1994(H3N2))XX,92,1902
ABG80144,230,Human,NS1,H3N2,USA,N,1,12,1994,Influenza A virus (A/New York/747/1994(H3N2))XX,92,1902
ABG80150,566,Human,HA,H3N2,USA,N,1,17,1994,Influenza A virus (A/New York/748/1994(H3N2))XX,0,1994
ABG80153,469,Human,NA,H3N2,USA,N,1,17,1994,Influenza A virus (A/New York/748/1994(H3N2))XX,0,1994
ABG80154,498,Human,NP,H3N2,USA,N,1,17,1994,Influenza A virus (A/New York/748/1994(H3N2))XX,0,1994
ABG80161,566,Human,HA,H3N2,USA,N,1,11,1994,Influenza A virus (A/New York/749/1994(H3N2))XX,85,1909
ABG80166,230,Human,NS1,H3N2,USA,N,1,11,1994,Influenza A virus (A/New York/749/1994(H3N2))XX,85,1909
ABG80169,757,Human,PB1,H3N2,USA,N,1,11,1994,Influenza A virus (A/New York/749/1994(H3N2))XX,85,1909
ABG80171,759,Human,PB2,H3N2,USA,N,1,11,1994,Influenza A virus (A/New York/749/1994(H3N2))XX,85,1909
AAY44620,566,Human,HA,H3N2,USA,N,2,12,2002,Influenza A virus (A/New York/75/2002(H3N2))XX,61,1941
AAY45655,759,Human,PB2,H3N2,USA,N,2,12,2002,Influenza A virus (A/New York/75/2002(H3N2))XX,61,1941
ABG88520,566,Human,HA,H3N2,USA,N,1,25,1994,Influenza A virus (A/New York/750/1994(H3N2))XX,8,1986
ABG88527,716,Human,PA,H3N2,USA,N,1,25,1994,Influenza A virus (A/New York/750/1994(H3N2))XX,8,1986
ABG88530,759,Human,PB2,H3N2,USA,N,1,25,1994,Influenza A virus (A/New York/750/1994(H3N2))XX,8,1986
ABG37351,566,Human,HA,H3N2,USA,N,11,8,1993,Influenza A virus (A/New York/751/1993(H3N2))XX,27,1966
ABG37354,469,Human,NA,H3N2,USA,N,11,8,1993,Influenza A virus (A/New York/751/1993(H3N2))XX,27,1966
ABG37358,716,Human,PA,H3N2,USA,N,11,8,1993,Influenza A virus (A/New York/751/1993(H3N2))XX,27,1966
ABG48038,566,Human,HA,H3N2,USA,N,12,30,1993,Influenza A virus (A/New York/752/1993(H3N2))XX,82,1911
ABG48042,498,Human,NP,H3N2,USA,N,12,30,1993,Influenza A virus (A/New York/752/1993(H3N2))XX,82,1911
ABG48043,230,Human,NS1,H3N2,USA,N,12,30,1993,Influenza A virus (A/New York/752/1993(H3N2))XX,82,1911
ABG48045,716,Human,PA,H3N2,USA,N,12,30,1993,Influenza A virus (A/New York/752/1993(H3N2))XX,82,1911
ABG88531,566,Human,HA,H3N2,USA,N,2,15,1994,Influenza A virus (A/New York/753/1994(H3N2))XX,6,1988
ABG88534,469,Human,NA,H3N2,USA,N,2,15,1994,Influenza A virus (A/New York/753/1994(H3N2))XX,6,1988
ABG88729,566,Human,HA,H3N2,USA,N,1,16,1993,Influenza A virus (A/New York/754/1993(H3N2))XX,50,1943
ABG88732,469,Human,NA,H3N2,USA,N,1,16,1993,Influenza A virus (A/New York/754/1993(H3N2))XX,50,1943
ABG88737,757,Human,PB1,H3N2,USA,N,1,16,1993,Influenza A virus (A/New York/754/1993(H3N2))XX,50,1943
ABG88738,90,Human,PB1-F2,H3N2,USA,N,1,16,1993,Influenza A virus (A/New York/754/1993(H3N2))XX,50,1943
ABG88748,757,Human,PB1,H3N2,USA,N,3,12,1993,Influenza A virus (A/New York/755/1993(H3N2))XX,82,1911
ABG48283,469,Human,NA,H3N2,USA,N,2,2,1993,Influenza A virus (A/New York/756/1993(H3N2))XX,18,1975
ABG48287,716,Human,PA,H3N2,USA,N,2,2,1993,Influenza A virus (A/New York/756/1993(H3N2))XX,18,1975
ABG48288,757,Human,PB1,H3N2,USA,N,2,2,1993,Influenza A virus (A/New York/756/1993(H3N2))XX,18,1975
ABG48289,90,Human,PB1-F2,H3N2,USA,N,2,2,1993,Influenza A virus (A/New York/756/1993(H3N2))XX,18,1975
ABI21244,566,Human,HA,H3N2,USA,N,3,26,1993,Influenza A virus (A/New York/757/1993(H3N2))XX,67,1926
ABI21247,469,Human,NA,H3N2,USA,N,3,26,1993,Influenza A virus (A/New York/757/1993(H3N2))XX,67,1926
ABI21251,716,Human,PA,H3N2,USA,N,3,26,1993,Influenza A virus (A/New York/757/1993(H3N2))XX,67,1926
ABI21252,757,Human,PB1,H3N2,USA,N,3,26,1993,Influenza A virus (A/New York/757/1993(H3N2))XX,67,1926
ABG48291,566,Human,HA,H3N2,USA,N,2,3,1993,Influenza A virus (A/New York/758/1993(H3N2))XX,20,1973
ABG48294,469,Human,NA,H3N2,USA,N,2,3,1993,Influenza A virus (A/New York/758/1993(H3N2))XX,20,1973
ABG48296,230,Human,NS1,H3N2,USA,N,2,3,1993,Influenza A virus (A/New York/758/1993(H3N2))XX,20,1973
ABG48299,757,Human,PB1,H3N2,USA,N,2,3,1993,Influenza A virus (A/New York/758/1993(H3N2))XX,20,1973
ABG48300,90,Human,PB1-F2,H3N2,USA,N,2,3,1993,Influenza A virus (A/New York/758/1993(H3N2))XX,20,1973
ABG48303,252,Human,M1,H3N2,USA,N,3,8,1993,Influenza A virus (A/New York/759/1993(H3N2))XX,90,1903
ABG48305,469,Human,NA,H3N2,USA,N,3,8,1993,Influenza A virus (A/New York/759/1993(H3N2))XX,90,1903
AAY47013,566,Human,HA,H3N2,USA,N,1,11,2002,Influenza A virus (A/New York/76/2002(H3N2))XX,42,1960
AAY47014,250,Human,M1,H3N2,USA,N,1,11,2002,Influenza A virus (A/New York/76/2002(H3N2))XX,42,1960
AAY47015,95,Human,M2,H3N2,USA,N,1,11,2002,Influenza A virus (A/New York/76/2002(H3N2))XX,42,1960
AAY47016,469,Human,NA,H3N2,USA,N,1,11,2002,Influenza A virus (A/New York/76/2002(H3N2))XX,42,1960
AAY47021,757,Human,PB1,H3N2,USA,N,1,11,2002,Influenza A virus (A/New York/76/2002(H3N2))XX,42,1960
ABG48316,469,Human,NA,H3N2,USA,N,2,9,1993,Influenza A virus (A/New York/760/1993(H3N2))XX,0,1993
ABG48318,230,Human,NS1,H3N2,USA,N,2,9,1993,Influenza A virus (A/New York/760/1993(H3N2))XX,0,1993
ABG48323,759,Human,PB2,H3N2,USA,N,2,9,1993,Influenza A virus (A/New York/760/1993(H3N2))XX,0,1993
ABG48324,566,Human,HA,H3N2,USA,N,3,3,1993,Influenza A virus (A/New York/761/1993(H3N2))XX,76,1917
ABG48325,252,Human,M1,H3N2,USA,N,3,3,1993,Influenza A virus (A/New York/761/1993(H3N2))XX,76,1917
ABG48327,469,Human,NA,H3N2,USA,N,3,3,1993,Influenza A virus (A/New York/761/1993(H3N2))XX,76,1917
ABG48328,498,Human,NP,H3N2,USA,N,3,3,1993,Influenza A virus (A/New York/761/1993(H3N2))XX,76,1917
ABG48340,230,Human,NS1,H3N2,USA,N,2,4,1993,Influenza A virus (A/New York/762/1993(H3N2))XX,93,1900
ABG48360,469,Human,NA,H3N2,USA,N,2,23,1993,Influenza A virus (A/New York/764/1993(H3N2))XX,30,1963
ABG48367,759,Human,PB2,H3N2,USA,N,2,23,1993,Influenza A virus (A/New York/764/1993(H3N2))XX,30,1963
ABG48368,566,Human,HA,H3N2,USA,N,3,3,1993,Influenza A virus (A/New York/765/1993(H3N2))XX,97,1896
ABG48370,97,Human,M2,H3N2,USA,N,3,3,1993,Influenza A virus (A/New York/765/1993(H3N2))XX,97,1896
ABG48375,716,Human,PA,H3N2,USA,N,3,3,1993,Influenza A virus (A/New York/765/1993(H3N2))XX,97,1896
ABI21260,230,Human,NS1,H3N2,USA,N,2,15,1993,Influenza A virus (A/New York/766/1993(H3N2))XX,32,1961
ABI21263,757,Human,PB1,H3N2,USA,N,2,15,1993,Influenza A virus (A/New York/766/1993(H3N2))XX,32,1961
ABG80355,716,Human,PA,H3N2,USA,N,4,5,1993,Influenza A virus (A/New York/767/1993(H3N2))XX,76,1917
ABI21268,97,Human,M2,H3N2,USA,N,3,9,1993,Influenza A virus (A/New York/768/1993(H3N2))XX,83,1910
ABI21270,498,Human,NP,H3N2,USA,N,3,9,1993,Influenza A virus (A/New York/768/1993(H3N2))XX,83,1910
ABI21271,230,Human,NS1,H3N2,USA,N,3,9,1993,Influenza A virus (A/New York/768/1993(H3N2))XX,83,1910
ABI21285,757,Human,PB1,H3N2,USA,N,3,16,1993,Influenza A virus (A/New York/769/1993(H3N2))XX,45,1948
AAZ79508,469,Human,NA,H3N2,USA,N,12,26,2001,Influenza A virus (A/New York/77/2001(H3N2))XX,20,1981
AAZ79514,87,Human,PB1-F2,H3N2,USA,N,12,26,2001,Influenza A virus (A/New York/77/2001(H3N2))XX,20,1981
ABG80359,566,Human,HA,H3N2,USA,N,3,4,1993,Influenza A virus (A/New York/770/1993(H3N2))XX,74,1919
ABG80370,566,Human,HA,H3N2,USA,N,4,19,1993,Influenza A virus (A/New York/771/1993(H3N2))XX,80,1913
ABG80375,230,Human,NS1,H3N2,USA,N,4,19,1993,Influenza A virus (A/New York/771/1993(H3N2))XX,80,1913
ABG80379,90,Human,PB1-F2,H3N2,USA,N,4,19,1993,Influenza A virus (A/New York/771/1993(H3N2))XX,80,1913
ABI21288,566,Human,HA,H3N2,USA,N,3,10,1993,Influenza A virus (A/New York/772/1993(H3N2))XX,106,1887
ABI21299,566,Human,HA,H3N2,USA,N,3,31,1993,Influenza A virus (A/New York/773/1993(H3N2))XX,83,1910
ABI21307,757,Human,PB1,H3N2,USA,N,3,31,1993,Influenza A virus (A/New York/773/1993(H3N2))XX,83,1910
ABI21315,230,Human,NS1,H3N2,USA,N,2,25,1993,Influenza A virus (A/New York/774/1993(H3N2))XX,79,1914
ABG80381,566,Human,HA,H3N2,USA,N,3,11,1993,Influenza A virus (A/New York/775/1993(H3N2))XX,91,1902
ABG80389,757,Human,PB1,H3N2,USA,N,3,11,1993,Influenza A virus (A/New York/775/1993(H3N2))XX,91,1902
ABG80391,759,Human,PB2,H3N2,USA,N,3,11,1993,Influenza A virus (A/New York/775/1993(H3N2))XX,91,1902
ABI21321,566,Human,HA,H3N2,USA,N,2,18,1993,Influenza A virus (A/New York/776/1993(H3N2))XX,83,1910
ABG80395,469,Human,NA,H3N2,USA,N,3,20,1993,Influenza A virus (A/New York/777/1993(H3N2))XX,70,1923
ABG80396,498,Human,NP,H3N2,USA,N,3,20,1993,Influenza A virus (A/New York/777/1993(H3N2))XX,70,1923
ABG80402,759,Human,PB2,H3N2,USA,N,3,20,1993,Influenza A virus (A/New York/777/1993(H3N2))XX,70,1923
ABG80411,757,Human,PB1,H3N2,USA,N,2,2,1993,Influenza A virus (A/New York/778/1993(H3N2))XX,78,1915
ABG80414,566,Human,HA,H3N2,USA,N,2,1,1993,Influenza A virus (A/New York/779/1993(H3N2))XX,72,1921
ABG80418,498,Human,NP,H3N2,USA,N,2,1,1993,Influenza A virus (A/New York/779/1993(H3N2))XX,72,1921
ABI21332,566,Human,HA,H3N2,USA,N,3,2,1993,Influenza A virus (A/New York/780/1993(H3N2))XX,95,1898
ABI21339,716,Human,PA,H3N2,USA,N,3,2,1993,Influenza A virus (A/New York/780/1993(H3N2))XX,95,1898
ABI21341,90,Human,PB1-F2,H3N2,USA,N,3,2,1993,Influenza A virus (A/New York/780/1993(H3N2))XX,95,1898
ABG88760,90,Human,PB1-F2,H3N2,USA,N,3,26,1993,Influenza A virus (A/New York/781/1993(H3N2))XX,33,1960
ABG88762,566,Human,HA,H3N2,USA,N,4,3,1993,Influenza A virus (A/New York/782/1993(H3N2))XX,93,1900
ABG88769,716,Human,PA,H3N2,USA,N,4,3,1993,Influenza A virus (A/New York/782/1993(H3N2))XX,93,1900
ABG88770,757,Human,PB1,H3N2,USA,N,4,3,1993,Influenza A virus (A/New York/782/1993(H3N2))XX,93,1900
ABG88772,759,Human,PB2,H3N2,USA,N,4,3,1993,Influenza A virus (A/New York/782/1993(H3N2))XX,93,1900
ABG88773,566,Human,HA,H3N2,USA,N,4,1,1993,Influenza A virus (A/New York/783/1993(H3N2))XX,37,1956
ABG88781,757,Human,PB1,H3N2,USA,N,4,1,1993,Influenza A virus (A/New York/783/1993(H3N2))XX,37,1956
ABG88784,566,Human,HA,H3N2,USA,N,3,26,1993,Influenza A virus (A/New York/785/1993(H3N2))XX,73,1920
ABG80431,121,Human,NS2,H3N2,USA,N,3,16,1993,Influenza A virus (A/New York/786/1993(H3N2))XX,1,1992
ABI21354,566,Human,HA,H3N2,USA,N,3,10,1993,Influenza A virus (A/New York/787/1993(H3N2))XX,103,1890
ABI21357,469,Human,NA,H3N2,USA,N,3,10,1993,Influenza A virus (A/New York/787/1993(H3N2))XX,103,1890
ABI21362,757,Human,PB1,H3N2,USA,N,3,10,1993,Influenza A virus (A/New York/787/1993(H3N2))XX,103,1890
ABI21365,566,Human,HA,H3N2,USA,N,2,26,1993,Influenza A virus (A/New York/788/1993(H3N2))XX,9,1984
ABI21370,230,Human,NS1,H3N2,USA,N,2,26,1993,Influenza A virus (A/New York/788/1993(H3N2))XX,9,1984
ABI21371,121,Human,NS2,H3N2,USA,N,2,26,1993,Influenza A virus (A/New York/788/1993(H3N2))XX,9,1984
ABI21373,757,Human,PB1,H3N2,USA,N,2,26,1993,Influenza A virus (A/New York/788/1993(H3N2))XX,9,1984
ABI21374,90,Human,PB1-F2,H3N2,USA,N,2,26,1993,Influenza A virus (A/New York/788/1993(H3N2))XX,9,1984
ABI21376,566,Human,HA,H3N2,USA,N,4,5,1993,Influenza A virus (A/New York/789/1993(H3N2))XX,0,1993
ABI21392,230,Human,NS1,H3N2,USA,N,2,4,1993,Influenza A virus (A/New York/790/1993(H3N2))XX,83,1910
ABI21398,566,Human,HA,H3N2,USA,N,3,11,1993,Influenza A virus (A/New York/791/1993(H3N2))XX,91,1902
ABI21402,498,Human,NP,H3N2,USA,N,3,11,1993,Influenza A virus (A/New York/791/1993(H3N2))XX,91,1902
ABI21403,230,Human,NS1,H3N2,USA,N,3,11,1993,Influenza A virus (A/New York/791/1993(H3N2))XX,91,1902
ABI21406,757,Human,PB1,H3N2,USA,N,3,11,1993,Influenza A virus (A/New York/791/1993(H3N2))XX,91,1902
ABI21412,469,Human,NA,H3N2,USA,N,3,9,1993,Influenza A virus (A/New York/792/1993(H3N2))XX,85,1908
ABI30854,566,Human,HA,H3N2,USA,N,2,2,1993,Influenza A virus (A/New York/793/1993(H3N2))XX,89,1904
ABI21420,566,Human,HA,H3N2,USA,N,3,4,1993,Influenza A virus (A/New York/794/1993(H3N2))XX,76,1917
ABI21423,469,Human,NA,H3N2,USA,N,3,4,1993,Influenza A virus (A/New York/794/1993(H3N2))XX,76,1917
ABI21425,230,Human,NS1,H3N2,USA,N,3,4,1993,Influenza A virus (A/New York/794/1993(H3N2))XX,76,1917
ABI21429,90,Human,PB1-F2,H3N2,USA,N,3,4,1993,Influenza A virus (A/New York/794/1993(H3N2))XX,76,1917
ABI21450,757,Human,PB1,H3N2,USA,N,3,16,1993,Influenza A virus (A/New York/797/1993(H3N2))XX,79,1914
ABI21461,757,Human,PB1,H3N2,USA,N,3,9,1993,Influenza A virus (A/New York/798/1993(H3N2))XX,76,1917
ABI21463,759,Human,PB2,H3N2,USA,N,3,9,1993,Influenza A virus (A/New York/798/1993(H3N2))XX,76,1917
ABI21471,716,Human,PA,H3N2,USA,N,3,10,1993,Influenza A virus (A/New York/799/1993(H3N2))XX,87,1906
AAY28564,469,Human,NA,H3N2,USA,N,12,29,2003,Influenza A virus (A/New York/8/2003(H3N2))XX,21,1982
AAY28566,230,Human,NS1,H3N2,USA,N,12,29,2003,Influenza A virus (A/New York/8/2003(H3N2))XX,21,1982
AAY28568,716,Human,PA,H3N2,USA,N,12,29,2003,Influenza A virus (A/New York/8/2003(H3N2))XX,21,1982
ABJ09220,469,Human,NA,H3N2,USA,N,3,11,1993,Influenza A virus (A/New York/800/1993(H3N2))XX,72,1921
ABI21486,566,Human,HA,H3N2,USA,N,3,2,1993,Influenza A virus (A/New York/802/1993(H3N2))XX,77,1916
ABI21496,759,Human,PB2,H3N2,USA,N,3,2,1993,Influenza A virus (A/New York/802/1993(H3N2))XX,77,1916
AAY28585,498,Human,NP,H3N2,USA,N,2,19,2002,Influenza A virus (A/New York/81/2002(H3N2))XX,30,1972
AAY28589,757,Human,PB1,H3N2,USA,N,2,19,2002,Influenza A virus (A/New York/81/2002(H3N2))XX,30,1972
AAX38237,566,Human,HA,H3N2,USA,N,12,26,2001,Influenza A virus (A/New York/82/2001(H3N2))XX,29,1972
AAX38240,468,Human,NA,H3N2,USA,N,12,26,2001,Influenza A virus (A/New York/82/2001(H3N2))XX,29,1972
AAX38241,498,Human,NP,H3N2,USA,N,12,26,2001,Influenza A virus (A/New York/82/2001(H3N2))XX,29,1972
AAX38246,759,Human,PB2,H3N2,USA,N,12,26,2001,Influenza A virus (A/New York/82/2001(H3N2))XX,29,1972
AAX11625,566,Human,HA,H3N2,USA,N,12,15,2001,Influenza A virus (A/New York/83/2001(H3N2))XX,16,1985
AAX11628,469,Human,NA,H3N2,USA,N,12,15,2001,Influenza A virus (A/New York/83/2001(H3N2))XX,16,1985
AAX11634,759,Human,PB2,H3N2,USA,N,12,15,2001,Influenza A virus (A/New York/83/2001(H3N2))XX,16,1985
AAZ17834,87,Human,PB1-F2,H3N2,USA,N,12,15,2001,Influenza A virus (A/New York/83/2001(H3N2))XX,16,1985
AAX12761,566,Human,HA,H3N2,USA,N,12,29,2001,Influenza A virus (A/New York/84/2001(H3N2))XX,28,1973
AAX12766,230,Human,NS1,H3N2,USA,N,12,29,2001,Influenza A virus (A/New York/84/2001(H3N2))XX,28,1973
AAX12770,759,Human,PB2,H3N2,USA,N,12,29,2001,Influenza A virus (A/New York/84/2001(H3N2))XX,28,1973
AAX56440,566,Human,HA,H3N2,USA,N,12,31,2001,Influenza A virus (A/New York/85/2001(H3N2))XX,23,1978
AAX56445,237,Human,NS1,H3N2,USA,N,12,31,2001,Influenza A virus (A/New York/85/2001(H3N2))XX,23,1978
AAX56447,716,Human,PA,H3N2,USA,N,12,31,2001,Influenza A virus (A/New York/85/2001(H3N2))XX,23,1978
AAX56449,759,Human,PB2,H3N2,USA,N,12,31,2001,Influenza A virus (A/New York/85/2001(H3N2))XX,23,1978
AAX35844,469,Human,NA,H3N2,USA,N,3,1,2002,Influenza A virus (A/New York/86/2002(H3N2))XX,0,2002
AAX35850,759,Human,PB2,H3N2,USA,N,3,1,2002,Influenza A virus (A/New York/86/2002(H3N2))XX,0,2002
AAX56453,466,Human,NA,H3N2,USA,N,1,8,2002,Influenza A virus (A/New York/87/2002(H3N2))XX,45,1957
AAX56459,759,Human,PB2,H3N2,USA,N,1,8,2002,Influenza A virus (A/New York/87/2002(H3N2))XX,45,1957
AAY28325,566,Human,HA,H3N2,USA,N,2,26,2002,Influenza A virus (A/New York/88/2002(H3N2))XX,50,1952
AAY28328,466,Human,NA,H3N2,USA,N,2,26,2002,Influenza A virus (A/New York/88/2002(H3N2))XX,50,1952
AAX56460,566,Human,HA,H3N2,USA,N,1,12,2002,Influenza A virus (A/New York/89/2002(H3N2))XX,0,2002
AAX56463,467,Human,NA,H3N2,USA,N,1,12,2002,Influenza A virus (A/New York/89/2002(H3N2))XX,0,2002
AAX56467,716,Human,PA,H3N2,USA,N,1,12,2002,Influenza A virus (A/New York/89/2002(H3N2))XX,0,2002
AAZ17840,79,Human,PB1-F2,H3N2,USA,N,1,12,2002,Influenza A virus (A/New York/89/2002(H3N2))XX,0,2002
AAY44610,566,Human,HA,H3N2,USA,N,10,31,2003,Influenza A virus (A/New York/9/2003(H3N2))XX,63,1940
AAY44613,469,Human,NA,H3N2,USA,N,10,31,2003,Influenza A virus (A/New York/9/2003(H3N2))XX,63,1940
AAY44614,498,Human,NP,H3N2,USA,N,10,31,2003,Influenza A virus (A/New York/9/2003(H3N2))XX,63,1940
AAY44617,716,Human,PA,H3N2,USA,N,10,31,2003,Influenza A virus (A/New York/9/2003(H3N2))XX,63,1940
AAX56470,566,Human,HA,H3N2,USA,N,2,6,2002,Influenza A virus (A/New York/90/2002(H3N2))XX,47,1955
AAX56473,469,Human,NA,H3N2,USA,N,2,6,2002,Influenza A virus (A/New York/90/2002(H3N2))XX,47,1955
AAX56474,497,Human,NP,H3N2,USA,N,2,6,2002,Influenza A virus (A/New York/90/2002(H3N2))XX,47,1955
AAX56475,230,Human,NS1,H3N2,USA,N,2,6,2002,Influenza A virus (A/New York/90/2002(H3N2))XX,47,1955
AAX56476,121,Human,NS2,H3N2,USA,N,2,6,2002,Influenza A virus (A/New York/90/2002(H3N2))XX,47,1955
AAX56477,716,Human,PA,H3N2,USA,N,2,6,2002,Influenza A virus (A/New York/90/2002(H3N2))XX,47,1955
AAX12774,469,Human,NA,H3N2,USA,N,1,17,2002,Influenza A virus (A/New York/91/2002(H3N2))XX,21,1981
AAX35858,716,Human,PA,H3N2,USA,N,1,18,2002,Influenza A virus (A/New York/92/2002(H3N2))XX,38,1964
AAY18589,498,Human,NP,H3N2,USA,N,2,19,2002,Influenza A virus (A/New York/93/2002(H3N2))XX,83,1919
AAY18599,758,Human,PB2,H3N2,USA,N,2,19,2002,Influenza A virus (A/New York/93/2002(H3N2))XX,83,1919
AAY28335,566,Human,HA,H3N2,USA,N,12,25,2001,Influenza A virus (A/New York/94/2001(H3N2))XX,38,1963
AAY28338,469,Human,NA,H3N2,USA,N,12,25,2001,Influenza A virus (A/New York/94/2001(H3N2))XX,38,1963
AAY28343,757,Human,PB1,H3N2,USA,N,12,25,2001,Influenza A virus (A/New York/94/2001(H3N2))XX,38,1963
AAX12781,566,Human,HA,H3N2,USA,N,2,26,2002,Influenza A virus (A/New York/95/2002(H3N2))XX,0,2002
AAX12783,97,Human,M2,H3N2,USA,N,2,26,2002,Influenza A virus (A/New York/95/2002(H3N2))XX,0,2002
AAX12784,469,Human,NA,H3N2,USA,N,2,26,2002,Influenza A virus (A/New York/95/2002(H3N2))XX,0,2002
AAX12789,757,Human,PB1,H3N2,USA,N,2,26,2002,Influenza A virus (A/New York/95/2002(H3N2))XX,0,2002
AAX47525,566,Human,HA,H3N2,USA,N,1,18,2002,Influenza A virus (A/New York/96/2002(H3N2))XX,0,2002
AAX47529,498,Human,NP,H3N2,USA,N,1,18,2002,Influenza A virus (A/New York/96/2002(H3N2))XX,0,2002
AAX47531,121,Human,NS2,H3N2,USA,N,1,18,2002,Influenza A virus (A/New York/96/2002(H3N2))XX,0,2002
AAX47533,758,Human,PB1,H3N2,USA,N,1,18,2002,Influenza A virus (A/New York/96/2002(H3N2))XX,0,2002
AAX47534,759,Human,PB2,H3N2,USA,N,1,18,2002,Influenza A virus (A/New York/96/2002(H3N2))XX,0,2002
AAX47528,468,Human,NA,H3N2,USA,N,1,18,2002,Influenza A virus (A/New York/96/2002(H3N2))XX,0,2002
AAY44625,498,Human,NP,H3N2,USA,N,2,13,2002,Influenza A virus (A/New York/97/2002(H3N2))XX,81,1921
AAY44626,230,Human,NS1,H3N2,USA,N,2,13,2002,Influenza A virus (A/New York/97/2002(H3N2))XX,81,1921
AAY44627,121,Human,NS2,H3N2,USA,N,2,13,2002,Influenza A virus (A/New York/97/2002(H3N2))XX,81,1921
AAZ74551,566,Human,HA,H3N2,USA,N,11,4,2004,Influenza A virus (A/New York/98/2004(H3N2))XX,80,1924
AAZ74554,467,Human,NA,H3N2,USA,N,11,4,2004,Influenza A virus (A/New York/98/2004(H3N2))XX,80,1924
